Index  Elem    Ion     Freq(ev)    Wavelength(A)
    0   Ni    XXVII  9.611182E+03  1.290000E+00
    1   Ni    XXVII  9.537250E+03  1.300000E+00
    2   Ni    XXVII  9.049945E+03  1.370000E+00
    3   Fe      XXV  8.492072E+03  1.460000E+00
    4   Fe      XXV  8.321090E+03  1.490000E+00
    5   Fe      XXV  7.797751E+03  1.590000E+00
    6   Ni    XXVII  7.749015E+03  1.600000E+00
    7   Ni    XXVII  7.700885E+03  1.610000E+00
    8   Ni    XXVII  7.653348E+03  1.620000E+00
    9   Fe      XXV  6.701851E+03  1.850000E+00
   10   Fe      XXV  6.665820E+03  1.860000E+00
   11   Fe      XXV  6.630174E+03  1.870000E+00
   12   Ca       XX  5.394419E+03  2.298380E+00
   13   Ca       XX  5.384977E+03  2.302410E+00
   14   Ca       XX  5.372214E+03  2.307880E+00
   15   Ca       XX  5.354396E+03  2.315560E+00
   16   Ca       XX  5.328370E+03  2.326870E+00
   17   Ca       XX  5.288280E+03  2.344510E+00
   18   Ca       XX  5.221796E+03  2.374360E+00
   19   Ca       XX  5.099420E+03  2.431340E+00
   20   Ca      XIX  4.959370E+03  2.500000E+00
   21   Ca       XX  4.835013E+03  2.564300E+00
   22   Ca      XIX  4.768625E+03  2.600000E+00
   23   Ca      XIX  4.592009E+03  2.700000E+00
   24   Ar    XVIII  4.369473E+03  2.837510E+00
   25   Ar    XVIII  4.361833E+03  2.842480E+00
   26   Ar    XVIII  4.351500E+03  2.849230E+00
   27   Ar    XVIII  4.337055E+03  2.858720E+00
   28   Ar    XVIII  4.315978E+03  2.872680E+00
   29   Ar    XVIII  4.283517E+03  2.894450E+00
   30   Ar    XVIII  4.229653E+03  2.931310E+00
   31   Ar    XVIII  4.130523E+03  3.001660E+00
   32   Ca       XX  4.079530E+03  3.039180E+00
   33   Ar    XVIII  3.916364E+03  3.165800E+00
   34   Ca      XIX  3.898876E+03  3.180000E+00
   35   Cl     XVII  3.897466E+03  3.181150E+00
   36   Cl     XVII  3.890654E+03  3.186720E+00
   37   Cl     XVII  3.881434E+03  3.194290E+00
   38   Ca      XIX  3.874508E+03  3.200000E+00
   39   Cl     XVII  3.868548E+03  3.204930E+00
   40   Ca      XIX  3.850442E+03  3.220000E+00
   41   Cl     XVII  3.849749E+03  3.220580E+00
   42   Cl     XVII  3.820790E+03  3.244990E+00
   43   Cl     XVII  3.772750E+03  3.286310E+00
   44   Cl     XVII  3.684327E+03  3.365180E+00
   45   Cl     XVII  3.493301E+03  3.549200E+00
   46    S      XVI  3.452427E+03  3.591220E+00
   47    S      XVI  3.446391E+03  3.597510E+00
   48    S      XVI  3.438229E+03  3.606050E+00
   49    S      XVI  3.426806E+03  3.618070E+00
   50    S      XVI  3.410161E+03  3.635730E+00
   51    S      XVI  3.384505E+03  3.663290E+00
   52    S      XVI  3.341956E+03  3.709930E+00
   53   Ar    XVIII  3.304422E+03  3.752070E+00
   54    S      XVI  3.263628E+03  3.798970E+00
   55   Ar     XVII  3.138842E+03  3.950000E+00
   56   Ar     XVII  3.123029E+03  3.970000E+00
   57   Ar     XVII  3.107375E+03  3.990000E+00
   58    S      XVI  3.094408E+03  4.006720E+00
   59    S       XV  3.091876E+03  4.010000E+00
   60    S       XV  3.024006E+03  4.100000E+00
   61   Cl     XVII  2.947465E+03  4.206470E+00
   62    S       XV  2.883355E+03  4.300000E+00
   63   Si      XIV  2.643266E+03  4.690570E+00
   64   Si      XIV  2.638642E+03  4.698790E+00
   65   Si      XIV  2.632390E+03  4.709950E+00
   66   Si      XIV  2.623650E+03  4.725640E+00
   67    S      XVI  2.610904E+03  4.748710E+00
   68   Si      XIV  2.610904E+03  4.748710E+00
   69   Si      XIV  2.591259E+03  4.784710E+00
   70   Si      XIV  2.558682E+03  4.845630E+00
   71   Si      XIV  2.498715E+03  4.961920E+00
   72    S       XV  2.460005E+03  5.040000E+00
   73    S       XV  2.445449E+03  5.070000E+00
   74    S       XV  2.431064E+03  5.100000E+00
   75   Si      XIV  2.369154E+03  5.233270E+00
   76   Si     XIII  2.343748E+03  5.290000E+00
   77   Si     XIII  2.296005E+03  5.400000E+00
   78   Al     XIII  2.279143E+03  5.439950E+00
   79   Al     XIII  2.275153E+03  5.449490E+00
   80   Al     XIII  2.269764E+03  5.462430E+00
   81   Al     XIII  2.262226E+03  5.480630E+00
   82   Al     XIII  2.251238E+03  5.507380E+00
   83   Al     XIII  2.234301E+03  5.549130E+00
   84   Al     XIII  2.206212E+03  5.619780E+00
   85   Si     XIII  2.182821E+03  5.680000E+00
   86   Al     XIII  2.154502E+03  5.754660E+00
   87   Al     XIII  2.042793E+03  6.069350E+00
   88   Ni     XXVI  2.032529E+03  6.100000E+00
   89   Si      XIV  1.998972E+03  6.202400E+00
   90   Mg      XII  1.941990E+03  6.384390E+00
   91   Mg      XII  1.938593E+03  6.395580E+00
   92   Mg      XII  1.934002E+03  6.410760E+00
   93   Mg      XII  1.927580E+03  6.432120E+00
   94   Mg      XII  1.918213E+03  6.463530E+00
   95   Mg      XII  1.903783E+03  6.512520E+00
   96   Mg      XII  1.879848E+03  6.595440E+00
   97   Si     XIII  1.864425E+03  6.650000E+00
   98   Si     XIII  1.853277E+03  6.690000E+00
   99   Si     XIII  1.839529E+03  6.740000E+00
  100   Mg      XII  1.835789E+03  6.753730E+00
  101   Mg      XII  1.740604E+03  7.123060E+00
  102   Fe     XXIV  1.729208E+03  7.170000E+00
  103   Al     XIII  1.723605E+03  7.193310E+00
  104   Mg       XI  1.696091E+03  7.310000E+00
  105   Mg       XI  1.659762E+03  7.470000E+00
  106   Ni     XXVI  1.653123E+03  7.500000E+00
  107   Na       XI  1.631812E+03  7.597950E+00
  108   Ni     XXIV  1.631372E+03  7.600000E+00
  109   Na       XI  1.628958E+03  7.611260E+00
  110   Na       XI  1.625098E+03  7.629340E+00
  111   Na       XI  1.619701E+03  7.654760E+00
  112   Na       XI  1.611832E+03  7.692130E+00
  113   Al      XII  1.599797E+03  7.750000E+00
  114   Na       XI  1.599706E+03  7.750440E+00
  115   Al      XII  1.587506E+03  7.810000E+00
  116   Na       XI  1.579594E+03  7.849120E+00
  117   Mg       XI  1.577408E+03  7.860000E+00
  118   Al      XII  1.575403E+03  7.870000E+00
  119   Al      XII  1.573404E+03  7.880000E+00
  120   Fe      XXI  1.569421E+03  7.900000E+00
  121   Fe     XXIV  1.551743E+03  7.990000E+00
  122   Na       XI  1.542572E+03  8.037500E+00
  123   Fe     XXIV  1.493786E+03  8.300000E+00
  124   Mg      XII  1.468634E+03  8.442150E+00
  125   Na       XI  1.462592E+03  8.477020E+00
  126   Ni    XXIII  1.458638E+03  8.500000E+00
  127   Ni      XXI  1.383753E+03  8.960000E+00
  128   Fe     XXII  1.373026E+03  9.030000E+00
  129   Ni     XXVI  1.366971E+03  9.070000E+00
  130   Mg       XI  1.352064E+03  9.170000E+00
  131   Ne        X  1.348605E+03  9.193520E+00
  132   Ne        X  1.346246E+03  9.209630E+00
  133   Mg       XI  1.343275E+03  9.230000E+00
  134   Ne        X  1.343056E+03  9.231500E+00
  135   Ni     XXII  1.340370E+03  9.250000E+00
  136   Ne        X  1.338596E+03  9.262260E+00
  137   Ni      XIX  1.333164E+03  9.300000E+00
  138   Ne        X  1.332093E+03  9.307480E+00
  139   Mg       XI  1.331732E+03  9.310000E+00
  140   Ni     XXIV  1.330303E+03  9.320000E+00
  141   Ni    XXIII  1.326035E+03  9.350000E+00
  142   Ni      XXV  1.323204E+03  9.370000E+00
  143   Ca       XX  1.322445E+03  9.375380E+00
  144   Ne        X  1.322071E+03  9.378030E+00
  145   Ca       XX  1.315264E+03  9.426570E+00
  146   Fe      XXI  1.310616E+03  9.460000E+00
  147   Ni     XXVI  1.310616E+03  9.460000E+00
  148   Ni       XX  1.309232E+03  9.470000E+00
  149   Ca       XX  1.305819E+03  9.494750E+00
  150   Ne        X  1.305450E+03  9.497430E+00
  151   Ca       XX  1.293058E+03  9.588450E+00
  152   Ni     XXVI  1.278188E+03  9.700000E+00
  153   Ca       XX  1.275213E+03  9.722630E+00
  154   Ne        X  1.274854E+03  9.725370E+00
  155   Ni      XXV  1.252366E+03  9.900000E+00
  156   Ca       XX  1.249189E+03  9.925180E+00
  157   Ni      XXV  1.243573E+03  9.970000E+00
  158   Ni      XXV  1.242327E+03  9.980000E+00
  159   Ni      XIX  1.239842E+03  1.000000E+01
  160   Ni     XXIV  1.239842E+03  1.000000E+01
  161   Na       XI  1.234055E+03  1.004690E+01
  162   Fe       XX  1.228783E+03  1.009000E+01
  163   Ni      XXV  1.215532E+03  1.020000E+01
  164   Ne        X  1.208753E+03  1.025720E+01
  165   Ca       XX  1.208211E+03  1.026180E+01
  166   Ni      XIX  1.203731E+03  1.030000E+01
  167   Ni      XIX  1.192156E+03  1.040000E+01
  168   Ni    XXIII  1.192156E+03  1.040000E+01
  169   Ni     XXIV  1.192156E+03  1.040000E+01
  170   Ni    XXIII  1.180802E+03  1.050000E+01
  171   Fe     XXIV  1.166362E+03  1.063000E+01
  172   Ni    XXIII  1.158731E+03  1.070000E+01
  173   Fe      XIX  1.157649E+03  1.071000E+01
  174   Ni     XXII  1.149066E+03  1.079000E+01
  175   Ne       IX  1.148002E+03  1.080000E+01
  176   Ca       XX  1.142586E+03  1.085120E+01
  177   Fe    XXIII  1.129183E+03  1.098000E+01
  178   Na        X  1.127129E+03  1.100000E+01
  179   Ne       IX  1.127129E+03  1.100000E+01
  180   Fe     XVII  1.124064E+03  1.103000E+01
  181   Na        X  1.118991E+03  1.108000E+01
  182   Na      X_x  1.118991E+03  1.108000E+01
  183   Fe     XXIV  1.114966E+03  1.112000E+01
  184   Na        X  1.107991E+03  1.119000E+01
  185   Ni       XX  1.107002E+03  1.120000E+01
  186   Ni      XXI  1.099151E+03  1.128000E+01
  187   Fe     XXIV  1.090451E+03  1.137000E+01
  188   Fe    XVIII  1.082832E+03  1.145000E+01
  189   Fe     XXII  1.078124E+03  1.150000E+01
  190   Fe    XXIII  1.078124E+03  1.150000E+01
  191   Ar    XVIII  1.071184E+03  1.157450E+01
  192   Ne       IX  1.068830E+03  1.160000E+01
  193   Ni       XX  1.068830E+03  1.160000E+01
  194   Ar    XVIII  1.065367E+03  1.163770E+01
  195   Ni     XXII  1.059694E+03  1.170000E+01
  196   Ni     XXIV  1.059694E+03  1.170000E+01
  197   Ar    XVIII  1.057715E+03  1.172190E+01
  198   Fe    XXIII  1.056084E+03  1.174000E+01
  199   Fe    XXIII  1.051605E+03  1.179000E+01
  200   Ar    XVIII  1.047377E+03  1.183760E+01
  201   Fe     XXII  1.041884E+03  1.190000E+01
  202   Fe      XXI  1.033202E+03  1.200000E+01
  203   Ar    XVIII  1.032927E+03  1.200320E+01
  204   Ni      XXI  1.024663E+03  1.210000E+01
  205   Fe     XVII  1.022972E+03  1.212000E+01
  206   Fe    XXIII  1.020446E+03  1.215000E+01
  207   Ca       XX  1.020169E+03  1.215330E+01
  208   Ne        X  1.019884E+03  1.215670E+01
  209   Na        X  1.017933E+03  1.218000E+01
  210   Fe      XXI  1.015432E+03  1.221000E+01
  211   Fe      XXI  1.012116E+03  1.225000E+01
  212   Ar    XVIII  1.011844E+03  1.225330E+01
  213   Ni      XXI  1.006366E+03  1.232000E+01
  214   Fe     XXII  1.005549E+03  1.233000E+01
  215   Ni      XIX  9.998729E+02  1.240000E+01
  216   Fe      XXI  9.990672E+02  1.241000E+01
  217   Fe     XVII  9.910811E+02  1.251000E+01
  218   Ni      XXI  9.879223E+02  1.255000E+01
  219   Fe      XXI  9.816646E+02  1.263000E+01
  220   Ni      XIX  9.793384E+02  1.266000E+01
  221   Ar    XVIII  9.786504E+02  1.266890E+01
  222   Fe     XVII  9.777937E+02  1.268000E+01
  223   Fe       XX  9.762539E+02  1.270000E+01
  224   Fe      XXI  9.739532E+02  1.273000E+01
  225   Ca    XVIII  9.686269E+02  1.280000E+01
  226   Fe       XX  9.686269E+02  1.280000E+01
  227   Ni      XIX  9.686269E+02  1.280000E+01
  228   Cl     XVII  9.554668E+02  1.297630E+01
  229   Cl     XVII  9.502747E+02  1.304720E+01
  230   Ni       XX  9.500708E+02  1.305000E+01
  231   Fe      XXI  9.493434E+02  1.306000E+01
  232   Cl     XVII  9.434558E+02  1.314150E+01
  233   Fe      XXI  9.392746E+02  1.320000E+01
  234   Cl     XVII  9.342354E+02  1.327120E+01
  235   Ar    XVIII  9.254973E+02  1.339650E+01
  236   Ne       IX  9.252556E+02  1.340000E+01
  237   Fe      XXI  9.245656E+02  1.341000E+01
  238   Cl     XVII  9.213433E+02  1.345690E+01
  239   Fe      XIX  9.156887E+02  1.354000E+01
  240   Fe    XVIII  9.116489E+02  1.360000E+01
  241   Ne       IX  9.116489E+02  1.360000E+01
  242   Ne       IX  9.049945E+02  1.370000E+01
